equation,dependent,variable,coef,se,t,p,N,r2,province_fe,year_fe,cluster,controls
(1) treat -> A,A_idx,treat_share,175.57503379536934,36.13705584239795,4.858587112383827,1.1822638986532293e-06,262,0.2613371318190799,Yes,Yes,province,Yes
(2) treat + A -> B,B_idx,treat_share,-296.72506917466774,77.41132063034681,-3.8330965905049488,0.00012654023810919723,262,0.3294115301678282,Yes,Yes,province,Yes
(2) treat + A -> B,B_idx,A_idx,0.03282710418726337,0.056347735201793404,0.582580720763708,0.5601755869949806,262,0.3294115301678282,Yes,Yes,province,Yes
(3) treat + A + B -> C,C_idx,treat_share,-263.3578821200071,104.55208668412153,-2.51891559960614,0.011771686995414006,262,0.5189620034154727,Yes,Yes,province,Yes
(3) treat + A + B -> C,C_idx,A_idx,-0.057258994714553056,0.10428144874816302,-0.549081312178852,0.5829496493928716,262,0.5189620034154727,Yes,Yes,province,Yes
(3) treat + A + B -> C,C_idx,B_idx,0.8577553978272642,0.2120955658587984,4.044192976661806,5.250366126775256e-05,262,0.5189620034154727,Yes,Yes,province,Yes
(4) treat + A + B + C -> D,D_idx,treat_share,0.05331803492772447,45.19591378040205,0.0011797091920032015,0.9990587284677935,262,0.30756110839770223,Yes,Yes,province,Yes
(4) treat + A + B + C -> D,D_idx,A_idx,0.05889719726233967,0.05521559870890779,1.066676784088514,0.28611781411666903,262,0.30756110839770223,Yes,Yes,province,Yes
(4) treat + A + B + C -> D,D_idx,B_idx,0.01976398879084869,0.07174008015038727,0.27549437844811214,0.7829364441389323,262,0.30756110839770223,Yes,Yes,province,Yes
(4) treat + A + B + C -> D,D_idx,C_idx,0.09337276406551281,0.02669524299321921,3.497730441683194,0.00046923513776671565,262,0.30756110839770223,Yes,Yes,province,Yes
