province,first_treatment_year,status
新疆生产建设兵团,,never_treated_in_current_post_window
海南,,never_treated_in_current_post_window
青海,,never_treated_in_current_post_window
上海,2016.0,treated
云南,2016.0,treated
内蒙古,2016.0,treated
北京,2016.0,treated
吉林,2016.0,treated
四川,2016.0,treated
天津,2016.0,treated
宁夏,2016.0,treated
安徽,2016.0,treated
山东,2016.0,treated
山西,2016.0,treated
广东,2016.0,treated
广西,2016.0,treated
新疆,2016.0,treated
江苏,2016.0,treated
江西,2016.0,treated
河北,2016.0,treated
河南,2016.0,treated
浙江,2016.0,treated
湖北,2016.0,treated
湖南,2016.0,treated
甘肃,2016.0,treated
福建,2016.0,treated
贵州,2016.0,treated
辽宁,2016.0,treated
重庆,2016.0,treated
陕西,2016.0,treated
黑龙江,2016.0,treated
西藏,2017.0,treated
