province,year_min,year_max,year_count,city_n_min,city_n_max,ok_rows,missing_city_n_rows,mean_treat_share_current,max_treat_share_current,mean_did_intensity_current,max_did_intensity_current,first_treat_year,slot_rows,slot_city_count,coverage_slot_sum,active_slot_sum,weight_sum,slot_treat_share_weighted,slot_did_active_share,analysis_input_status
上海,2015,2022,6,1.0,1.0,6,0,1.0,1.0,0.8333333333333334,1.0,2016.0,6.0,1.0,6.0,5.0,6.0,1.0,0.8333333333333334,implied_registry_plus_province_year_audit
云南,2014,2021,8,16.0,16.0,8,0,0.125,0.125,0.09375,0.125,2016.0,128.0,16.0,16.0,12.0,128.0,0.125,0.09375,implied_registry_plus_province_year_audit
内蒙古,2014,2022,9,12.0,12.0,9,0,0.1666666666666666,0.1666666666666666,0.1296296296296296,0.1666666666666666,2016.0,108.0,12.0,18.0,14.0,108.0,0.16666666666666666,0.12962962962962962,implied_registry_plus_province_year_audit
北京,2014,2022,9,1.0,1.0,9,0,1.0,1.0,0.7777777777777778,1.0,2016.0,9.0,1.0,9.0,7.0,9.0,1.0,0.7777777777777778,implied_registry_plus_province_year_audit
吉林,2014,2022,9,8.0,9.0,9,0,0.3472222222222222,0.375,0.2638888888888889,0.375,2016.0,78.0,9.0,27.0,21.0,78.0,0.34615384615384615,0.2692307692307692,implied_registry_plus_province_year_audit
四川,2014,2022,9,21.0,21.0,9,0,0.1428571428571428,0.1428571428571428,0.11111111111111106,0.1428571428571428,2016.0,189.0,21.0,27.0,21.0,189.0,0.14285714285714285,0.1111111111111111,implied_registry_plus_province_year_audit
天津,2015,2021,7,1.0,1.0,7,0,1.0,1.0,0.8571428571428571,1.0,2016.0,7.0,1.0,7.0,6.0,7.0,1.0,0.8571428571428571,implied_registry_plus_province_year_audit
宁夏,2015,2022,7,5.0,5.0,7,0,0.6,0.6,0.5142857142857142,0.6,2016.0,35.0,5.0,21.0,18.0,35.0,0.6,0.5142857142857142,implied_registry_plus_province_year_audit
安徽,2014,2022,9,16.0,16.0,9,0,0.1875,0.1875,0.14583333333333334,0.1875,2016.0,144.0,16.0,27.0,21.0,144.0,0.1875,0.14583333333333334,implied_registry_plus_province_year_audit
山东,2014,2022,9,16.0,17.0,9,0,0.2418300653594771,0.25,0.1895424836601307,0.25,2016.0,149.0,17.0,36.0,28.0,149.0,0.24161073825503357,0.18791946308724833,implied_registry_plus_province_year_audit
山西,2014,2022,9,11.0,11.0,9,0,0.1818181818181818,0.1818181818181818,0.14141414141414138,0.1818181818181818,2016.0,99.0,11.0,18.0,14.0,99.0,0.18181818181818182,0.1414141414141414,implied_registry_plus_province_year_audit
广东,2014,2022,9,21.0,21.0,9,0,0.1904761904761904,0.1904761904761904,0.14814814814814808,0.1904761904761904,2016.0,189.0,21.0,36.0,28.0,189.0,0.19047619047619047,0.14814814814814814,implied_registry_plus_province_year_audit
广西,2014,2022,9,14.0,14.0,9,0,0.2142857142857142,0.2142857142857142,0.1666666666666666,0.2142857142857142,2016.0,126.0,14.0,27.0,21.0,126.0,0.21428571428571427,0.16666666666666666,implied_registry_plus_province_year_audit
新疆,2014,2022,9,14.0,14.0,7,2,0.11111111111111106,0.1428571428571428,0.07936507936507933,0.1428571428571428,2016.0,98.0,14.0,14.0,10.0,98.0,0.14285714285714285,0.10204081632653061,implied_registry_plus_province_year_audit
新疆生产建设兵团,2015,2020,4,,,0,4,0.0,0.0,0.0,0.0,,,,,,,,,implied_registry_plus_province_year_audit
江苏,2014,2022,9,13.0,13.0,9,0,0.2307692307692307,0.2307692307692307,0.17948717948717943,0.2307692307692307,2016.0,117.0,13.0,27.0,21.0,117.0,0.23076923076923078,0.1794871794871795,implied_registry_plus_province_year_audit
江西,2014,2022,9,11.0,11.0,7,2,0.2121212121212121,0.2727272727272727,0.1515151515151515,0.2727272727272727,2016.0,77.0,11.0,21.0,15.0,77.0,0.2727272727272727,0.19480519480519481,implied_registry_plus_province_year_audit
河北,2014,2022,9,11.0,11.0,9,0,0.2727272727272727,0.2727272727272727,0.2121212121212121,0.2727272727272727,2016.0,99.0,11.0,27.0,21.0,99.0,0.2727272727272727,0.21212121212121213,implied_registry_plus_province_year_audit
河南,2014,2022,9,17.0,17.0,9,0,0.11764705882352938,0.1176470588235294,0.09150326797385619,0.1176470588235294,2016.0,153.0,17.0,18.0,14.0,153.0,0.11764705882352941,0.0915032679738562,implied_registry_plus_province_year_audit
浙江,2014,2022,9,11.0,11.0,9,0,0.3636363636363636,0.3636363636363636,0.28282828282828276,0.3636363636363636,2016.0,99.0,11.0,36.0,28.0,99.0,0.36363636363636365,0.2828282828282828,implied_registry_plus_province_year_audit
海南,2014,2022,9,2.0,3.0,9,0,0.0,0.0,0.0,0.0,,26.0,3.0,0.0,0.0,26.0,0.0,0.0,implied_registry_plus_province_year_audit
湖北,2014,2022,9,13.0,14.0,9,0,0.22893772893772887,0.2307692307692307,0.17765567765567758,0.2307692307692307,2016.0,118.0,14.0,27.0,21.0,118.0,0.2288135593220339,0.17796610169491525,implied_registry_plus_province_year_audit
湖南,2014,2021,8,13.0,14.0,8,0,0.22046703296703288,0.2307692307692307,0.1627747252747252,0.2307692307692307,2016.0,109.0,14.0,24.0,18.0,109.0,0.22018348623853212,0.1651376146788991,implied_registry_plus_province_year_audit
甘肃,2014,2022,9,14.0,14.0,9,0,0.1428571428571428,0.1428571428571428,0.11111111111111106,0.1428571428571428,2016.0,126.0,14.0,18.0,14.0,126.0,0.14285714285714285,0.1111111111111111,implied_registry_plus_province_year_audit
福建,2014,2022,9,9.0,9.0,9,0,0.4444444444444444,0.4444444444444444,0.345679012345679,0.4444444444444444,2016.0,81.0,9.0,36.0,28.0,81.0,0.4444444444444444,0.345679012345679,implied_registry_plus_province_year_audit
西藏,2015,2018,3,7.0,7.0,3,0,0.1428571428571428,0.1428571428571428,0.09523809523809519,0.1428571428571428,2017.0,21.0,7.0,3.0,2.0,21.0,0.14285714285714285,0.09523809523809523,implied_registry_plus_province_year_audit
贵州,2014,2022,9,9.0,9.0,9,0,0.1111111111111111,0.1111111111111111,0.08641975308641975,0.1111111111111111,2016.0,81.0,9.0,9.0,7.0,81.0,0.1111111111111111,0.08641975308641975,implied_registry_plus_province_year_audit
辽宁,2014,2022,9,14.0,14.0,9,0,0.2857142857142857,0.2857142857142857,0.2222222222222222,0.2857142857142857,2016.0,126.0,14.0,36.0,28.0,126.0,0.2857142857142857,0.2222222222222222,implied_registry_plus_province_year_audit
重庆,2014,2022,9,1.0,1.0,9,0,1.0,1.0,0.7777777777777778,1.0,2016.0,9.0,1.0,9.0,7.0,9.0,1.0,0.7777777777777778,implied_registry_plus_province_year_audit
陕西,2014,2022,9,10.0,10.0,9,0,0.2,0.2,0.15555555555555556,0.2,2016.0,90.0,10.0,18.0,14.0,90.0,0.2,0.15555555555555556,implied_registry_plus_province_year_audit
青海,2014,2020,7,8.0,8.0,7,0,0.0,0.0,0.0,0.0,,56.0,8.0,0.0,0.0,56.0,0.0,0.0,implied_registry_plus_province_year_audit
黑龙江,2014,2022,9,13.0,13.0,9,0,0.2307692307692307,0.2307692307692307,0.17948717948717943,0.2307692307692307,2016.0,117.0,13.0,27.0,21.0,117.0,0.23076923076923078,0.1794871794871795,implied_registry_plus_province_year_audit
