outcome,province_excluded,coef,p_value,sign_flip_vs_official,sig_jump_5pct_vs_official
exec_share,上海,0.3536714079041875,0.001250716227348183,False,False
exec_share,云南,0.3535095811553971,0.0025982895852683066,False,False
exec_share,内蒙古,0.3751658027722916,0.000503219267412088,False,False
exec_share,北京,0.3459563076812567,0.0016916508744803857,False,False
exec_share,吉林,0.36255143879376384,0.00506168697641743,False,False
exec_share,四川,0.34395581335730335,0.0030692300062524444,False,False
exec_share,天津,0.39682417798048464,0.0012315835568548238,False,False
exec_share,宁夏,0.3656428137099472,0.003958532134610955,False,False
exec_share,安徽,0.3636836832431993,0.002024903496997087,False,False
exec_share,山东,0.3529846447215236,0.0017185137411107685,False,False
exec_share,山西,0.3669413397833781,0.0018819878787778297,False,False
exec_share,广东,0.3688650731478976,0.0010842223022463839,False,False
exec_share,广西,0.372122100028634,0.0008281771943198323,False,False
exec_share,新疆,0.4345081870376022,0.0008440118934020093,False,False
exec_share,江苏,0.35495912189342477,0.0014059229775281116,False,False
exec_share,江西,0.2668302393145768,0.3455894479228061,False,True
exec_share,河北,0.34096849858484324,0.001624825113035936,False,False
exec_share,河南,0.35476168709883854,0.0018785642388579476,False,False
exec_share,浙江,0.338301460606224,0.0029346772094790826,False,False
exec_share,海南,0.36302999988248963,0.0011907484152575297,False,False
exec_share,湖北,0.3558691598424812,0.002506435445763664,False,False
exec_share,湖南,0.3618413735334478,0.00043713722308898716,False,False
exec_share,甘肃,0.3744558826709649,0.00032555981766861744,False,False
exec_share,福建,0.3539046861988569,0.0017311227515834152,False,False
exec_share,西藏,0.36447167693142635,0.0007370696925520073,False,False
exec_share,贵州,0.3672624808678986,0.0015471885092830217,False,False
exec_share,辽宁,0.3413672135553301,0.0037131832449188336,False,False
exec_share,重庆,0.32563831451751235,0.0010293613832162193,False,False
exec_share,陕西,0.3432472656470105,0.0027869247071590215,False,False
exec_share,青海,0.37893029046001536,0.0011213861177406586,False,False
exec_share,黑龙江,0.3707928491272579,0.0007112739048475016,False,False
proc_share,上海,-0.40100877388180517,0.00047367773440050003,False,False
proc_share,云南,-0.40328087499568216,0.0007339940098507572,False,False
proc_share,内蒙古,-0.42052223740787853,0.00016243872244837363,False,False
proc_share,北京,-0.3954865597943844,0.0005544444412771866,False,False
proc_share,吉林,-0.4330545675846016,0.0011768789462548838,False,False
proc_share,四川,-0.39205314855273143,0.0010336293281674256,False,False
proc_share,天津,-0.44515920382502394,0.0006870762208924209,False,False
proc_share,宁夏,-0.4106885911517301,0.0020901427833277847,False,False
proc_share,安徽,-0.4088701709834888,0.0007744952422177921,False,False
proc_share,山东,-0.4006945778112979,0.000806388441516457,False,False
proc_share,山西,-0.40691667416820826,0.0007607891199075023,False,False
proc_share,广东,-0.4126329433575741,0.00033477287237692927,False,False
proc_share,广西,-0.41663016170053396,0.0001736201451992621,False,False
proc_share,新疆,-0.4661525164563604,0.00020554521848459807,False,False
proc_share,江苏,-0.39990307445669493,0.0005249300399946408,False,False
proc_share,江西,-0.23237832093308897,0.23887099619145746,False,True
proc_share,河北,-0.38862546305927814,0.00040050040584331764,False,False
proc_share,河南,-0.4021643132885364,0.0005203700028079703,False,False
proc_share,浙江,-0.3897698940275599,0.0009150463101137398,False,False
proc_share,海南,-0.41559432332366886,0.0003069288704083515,False,False
proc_share,湖北,-0.4119340716329169,0.0006765702294535166,False,False
proc_share,湖南,-0.40604988005806364,0.00016713042912742376,False,False
proc_share,甘肃,-0.41851985522184487,0.00016084256172931109,False,False
proc_share,福建,-0.3959458989939103,0.000555356851652545,False,False
proc_share,西藏,-0.4111655990627336,0.00038166491421837953,False,False
proc_share,贵州,-0.4004781481784684,0.0004875584485634013,False,False
proc_share,辽宁,-0.39022760194396156,0.0011187558716498516,False,False
proc_share,重庆,-0.37360409121460053,0.0002676246801563158,False,False
proc_share,陕西,-0.3875595038230609,0.0009386045628088154,False,False
proc_share,青海,-0.4415474881474338,0.00030480272977649055,False,False
proc_share,黑龙江,-0.41706207451490085,0.00023418818892854544,False,False
ppp_quality_zindex,上海,0.5182820411531374,0.2641534470081167,False,False
ppp_quality_zindex,云南,0.5098202608537926,0.27640171891757903,False,False
ppp_quality_zindex,内蒙古,0.5565979238663629,0.23776322807670794,False,False
ppp_quality_zindex,北京,0.5015057674135582,0.2858009428413734,False,False
ppp_quality_zindex,吉林,0.36085479524727077,0.2781865372944613,False,False
ppp_quality_zindex,四川,0.502147131206036,0.2861351948235821,False,False
ppp_quality_zindex,天津,0.5696330594778474,0.2153941314809804,False,False
ppp_quality_zindex,宁夏,0.5374299808083045,0.24277054075815135,False,False
ppp_quality_zindex,安徽,0.546113591604151,0.24381207346633316,False,False
ppp_quality_zindex,山东,0.5086428711141476,0.24951813919434795,False,False
ppp_quality_zindex,山西,0.5718605722224612,0.22366195827025698,False,False
ppp_quality_zindex,广东,0.5705189887689305,0.25849810796823225,False,False
ppp_quality_zindex,广西,0.5710988143961705,0.23877454124881256,False,False
ppp_quality_zindex,新疆,0.5936506254033883,0.2970887124444638,False,False
ppp_quality_zindex,江苏,0.5278996927187127,0.2546705985242579,False,False
ppp_quality_zindex,江西,1.4863120050158003,0.3647914263594292,False,False
ppp_quality_zindex,河北,0.5013615490625685,0.2905812052844452,False,False
ppp_quality_zindex,河南,0.5153305182581522,0.2671423238751825,False,False
ppp_quality_zindex,浙江,0.4806113320510427,0.29062073818565226,False,False
ppp_quality_zindex,海南,0.5204986486666027,0.273221092699815,False,False
ppp_quality_zindex,湖北,0.47488206734940475,0.2816139646935728,False,False
ppp_quality_zindex,湖南,0.544941365231946,0.24444305559544016,False,False
ppp_quality_zindex,甘肃,0.5951581826274011,0.2260294664258224,False,False
ppp_quality_zindex,福建,0.5277967113970741,0.2526200233297928,False,False
ppp_quality_zindex,西藏,0.5199595955488286,0.25045375291085037,False,False
ppp_quality_zindex,贵州,0.6061837939704201,0.19732861358422024,False,False
ppp_quality_zindex,辽宁,0.49875656885415276,0.2906578549384714,False,False
ppp_quality_zindex,重庆,0.4849737424903166,0.3048690823073031,False,False
ppp_quality_zindex,陕西,0.5221428175691523,0.26509332868092356,False,False
ppp_quality_zindex,青海,0.4800603529496,0.30115039155185863,False,False
ppp_quality_zindex,黑龙江,0.21393944337885798,0.377248675259506,False,False
