province,first_treat_year,ever_treated,obs_n,text_doc_years
上海,2016.0,1,6,3
云南,2016.0,1,8,7
内蒙古,2016.0,1,9,6
北京,2016.0,1,9,7
吉林,2016.0,1,9,6
四川,2016.0,1,9,9
天津,2016.0,1,7,5
宁夏,2016.0,1,7,5
安徽,2016.0,1,9,9
山东,2016.0,1,9,9
山西,2016.0,1,9,8
广东,2016.0,1,9,8
广西,2016.0,1,9,8
新疆,2016.0,1,9,6
江苏,2016.0,1,9,9
江西,2016.0,1,9,7
河北,2016.0,1,9,9
河南,2016.0,1,9,8
浙江,2016.0,1,9,8
湖北,2016.0,1,9,8
湖南,2016.0,1,8,6
甘肃,2016.0,1,9,6
福建,2016.0,1,9,7
贵州,2016.0,1,9,5
辽宁,2016.0,1,9,6
重庆,2016.0,1,9,2
陕西,2016.0,1,9,7
黑龙江,2016.0,1,9,7
西藏,2017.0,1,3,2
中央,,0,2,2
新疆生产建设兵团,,0,4,0
海南,,0,9,5
青海,,0,7,3
